number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
352;L12_0.1_Nov22;November;2022;18.11.2022;B3;L12;0.1;NA;winter;13:42:00;14:19:00;1;0,8;0,34;0,24;2,38;none;Monthly;NA;NA;;;
353;L12_0.45_Nov22;November;2022;18.11.2022;B3;L12;0.45;NA;winter;13:42:00;14:19:00;1;0,8;0,34;0,24;2,38;none;Monthly;NA;NA;;;
354;L1_0.1_Dec22;December;2022;15.12.2022;B1;L1;0.1;NA;winter;12:40:00;13:03:00;1;1;1;0,7;3,7;N;Monthly;NA;NA;;;
355;L1_0.45_Dec22;December;2022;15.12.2022;B1;L1;0.45;NA;winter;12:40:00;13:03:00;1;1;1;0,7;3,7;N;Monthly;NA;NA;;;
356;L2_0.1_Dec22;December;2022;15.12.2022;B1;L2;0.1;NA;winter;12:40:00;12:55:00;1;1;1;1;4;none;Monthly;NA;NA;;;
357;L2_0.45_Dec22;December;2022;15.12.2022;B1;L2;0.45;NA;winter;12:40:00;12:55:00;1;1;1;1;4;none;Monthly;NA;NA;;;
358;L3_0.1_Dec22;December;2022;15.12.2022;B1;L3;0.1;NA;winter;12:40:00;12:50:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
359;L3_0.45_Dec22;December;2022;15.12.2022;B1;L3;0.45;NA;winter;12:40:00;12:50:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
360;L4_0.1_Dec22;December;2022;15.12.2022;B1;L4;0.1;NA;winter;12:40:00;13:00:00;1;1;1;1;4;P;Monthly;NA;NA;;;
361;L4_0.45_Dec22;December;2022;15.12.2022;B1;L4;0.45;NA;winter;12:40:00;13:00:00;1;1;1;1;4;P;Monthly;NA;NA;;;
362;L5_0.1_Dec22;December;2022;15.12.2022;B2;L5;0.1;NA;winter;13:12:00;13:45:00;1;0,9;0,4;0,45;2,75;P;Monthly;NA;NA;;;
363;L5_0.45_Dec22;December;2022;15.12.2022;B2;L5;0.45;NA;winter;13:12:00;13:45:00;1;0,9;0,4;0,45;2,75;P;Monthly;NA;NA;;;
364;L6_0.1_Dec22;December;2022;15.12.2022;B2;L6;0.1;NA;winter;12:59:00;12:59:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
365;L6_0.45_Dec22;December;2022;15.12.2022;B2;L6;0.45;NA;winter;12:59:00;12:59:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
366;L7_0.1_Dec22;December;2022;15.12.2022;B2;L7;0.1;NA;winter;13:00:00;13:10:00;1;1;1;1;4;none;Monthly;NA;NA;;;
367;L7_0.45_Dec22;December;2022;15.12.2022;B2;L7;0.45;NA;winter;13:00:00;13:10:00;1;1;1;1;4;none;Monthly;NA;NA;;;
368;L8_0.1_Dec22;December;2022;15.12.2022;B2;L8;0.1;NA;winter;13:06:00;13:22:00;1;1;1;1;4;N;Monthly;NA;NA;;;
369;L8_0.45_Dec22;December;2022;15.12.2022;B2;L8;0.45;NA;winter;13:06:00;13:22:00;1;1;1;1;4;N;Monthly;NA;NA;;;
370;L9_0.1_Dec22;December;2022;15.12.2022;B3;L9;0.1;NA;winter;13:50:00;14:10:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
371;L9_0.45_Dec22;December;2022;15.12.2022;B3;L9;0.45;NA;winter;13:50:00;14:10:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
372;L10_0.1_Dec22;December;2022;15.12.2022;B3;L10;0.1;NA;winter;13:28:00;13:48:00;1;1;1;1;4;P;Monthly;NA;NA;;;
373;L10_0.45_Dec22;December;2022;15.12.2022;B3;L10;0.45;NA;winter;13:28:00;13:48:00;1;1;1;1;4;P;Monthly;NA;NA;;;
374;L11_0.1_Dec22;December;2022;15.12.2022;B3;L11;0.1;NA;winter;13:25:00;13:56:00;1;1;1;1;4;N;Monthly;NA;NA;;;
375;L11_0.45_Dec22;December;2022;15.12.2022;B3;L11;0.45;NA;winter;13:25:00;13:56:00;1;1;1;1;4;N;Monthly;NA;NA;;;
376;L12_0.1B_Dec22;December;2022;15.12.2022;B3;L12;0.1;blue;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
377;L12_0.45B_Dec22;December;2022;15.12.2022;B3;L12;0.45;blue;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
378;L12_0.1O_Dec22;December;2022;15.12.2022;B3;L12;0.1;orange ;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
379;L12_0.45O_Dec22;December;2022;15.12.2022;B3;L12;0.45;orange ;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
380;L12_0.1R_Dec22;December;2022;15.12.2022;B3;L12;0.1;red;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
381;L12_0.45R_Dec22;December;2022;15.12.2022;B3;L12;0.45;red;winter;13:36:00;14:00:00;1;1;1;1;4;none;Monthly;NA;NA;;;
